ad_library_id,advertiser_name,published_date,media_type,ad_creative_body,ad_creative_body_lang
1082258160683958,Above Words,2025-09-02,video-only,"Great leaders don’t just talk—they inspire. Learn to speak with confidence, clarity, and authority in just 15 minutes a day. Start your journey to powerful communication now!",en
724227220614336,Befreed ai,2025-09-01,video-only,My friend “read” 3 books while I wasted hours scrolling. His secret: BeFreed. Short visual summaries + AI recommendations. Swap drama for growth today.,en
756164603900595,Coursiv,2025-09-01,image-only,Kick-start your AI journey with Coursiv 🚀,en
760613673803993,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
764572163167778,Coursiv,2025-09-01,image-only,Kick-start your AI journey with Coursiv 🚀,en
776980061695898,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
781084380961404,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
818373590719260,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1023698979718039,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1027834602617333,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1089010280072679,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1112166047049420,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1115405000691969,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1144297734218411,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1171548061481635,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1250485343433089,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1272875020642840,Coursiv,2025-09-01,image-only,Kick-start your AI journey with Coursiv 🚀,en
1298245378358384,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1312773330254945,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1409609883672581,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1563694821271827,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1583415283034348,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1784699062167026,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
1838490240399946,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
2197858274029859,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
3089746964539902,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
4422492877971581,Coursiv,2025-09-01,video-only,Kick-start your AI journey with Coursiv 🚀,en
24804125789219329,learnable_academy,2025-09-01,video-only,"🎮 Learnable Academy isn’t just another learning tool, it’s a launchpad. We turn “I don’t get it” into “I got this.” 💪🏼",en
782475071142386,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
4018326091722893,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1116189233813200,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1256942466180108,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
776112985125528,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
24731903693100842,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
24665217106447831,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1123481476418431,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
789447836797571,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
4184539358456185,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
788866500299581,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
24143232312026043,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1574941906818065,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1329675922097049,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1611699370208780,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
1510246160129881,Codefinity,2025-09-01,image-only,Sign up for the challenge 🏁,en
